url,requests,dataSend,dataGot
cs.put.poznan.pl,1,0,66355
www2.cs.put.poznan.pl,42,0,74304
www.cs.put.poznan.pl,2,0,132694
nonsensopedia.wikia.com,1,0,12103
fc.put.poznan.pl,37,0,103943
